time,station,temperature,wind_dir,wind_speed,wind_impact,clouds,weather
Aktuálny stav počasia - 22.09.2021 - 12:00 LSEČ,Bratislava Ivanka,13.5 °C,SZ,6 m/s,,Takmer zamračené,Po daždi
Aktuálny stav počasia - 22.09.2021 - 12:00 LSEČ,Bratislava Koliba,10.6 °C,PREM,1 m/s,,Takmer zamračené,
Aktuálny stav počasia - 22.09.2021 - 12:00 LSEČ,Bratislava - Mlynská Dolina,11.5 °C,J,1 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 12:00 LSEČ,Bratislava Ivanka,13.5 °C,SZ,6 m/s,,Takmer zamračené,Po daždi
Aktuálny stav počasia - 22.09.2021 - 12:00 LSEČ,Bratislava Koliba,10.6 °C,PREM,1 m/s,,Takmer zamračené,
Aktuálny stav počasia - 22.09.2021 - 13:00 LSEČ,Bratislava - Mlynská Dolina,13.6 °C,Z,1 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 13:00 LSEČ,Bratislava Ivanka,14.7 °C,SZ,7 m/s,,Takmer zamračené,
Aktuálny stav počasia - 22.09.2021 - 13:00 LSEČ,Bratislava Koliba,12.6 °C,SZ,3 m/s,,Takmer zamračené,
Aktuálny stav počasia - 22.09.2021 - 13:00 LSEČ,Bratislava - Mlynská Dolina,13.6 °C,Z,1 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 13:00 LSEČ,Bratislava Ivanka,14.7 °C,SZ,7 m/s,,Takmer zamračené,
Aktuálny stav počasia - 22.09.2021 - 13:00 LSEČ,Bratislava Koliba,12.6 °C,SZ,3 m/s,,Takmer zamračené,
Aktuálny stav počasia - 22.09.2021 - 14:00 LSEČ,Bratislava - Mlynská Dolina,15.0 °C,Z,3 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 14:00 LSEČ,Bratislava Ivanka,14.0 °C,SZ,7 m/s,,Takmer zamračené,Prehánka
Aktuálny stav počasia - 22.09.2021 - 14:00 LSEČ,Bratislava Koliba,14.2 °C,Z,4 m/s,,Takmer zamračené,
Aktuálny stav počasia - 22.09.2021 - 14:00 LSEČ,Bratislava - Mlynská Dolina,15.0 °C,Z,3 m/s,,,
